locus_tag	ftype	length_bp	gene	EC_number	COG	product
BCPCFBLM_00001	CDS	609	msrQ		COG2717	Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ
BCPCFBLM_00002	CDS	1014	msrP	1.8.5.-	COG2041	Protein-methionine-sulfoxide reductase catalytic subunit MsrP
BCPCFBLM_00003	CDS	816				hypothetical protein
BCPCFBLM_00004	CDS	1017	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
BCPCFBLM_00005	CDS	492	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
BCPCFBLM_00006	CDS	1725	ilvI	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
BCPCFBLM_00007	CDS	453				hypothetical protein
BCPCFBLM_00008	CDS	330	yqcC		COG3098	putative protein YqcC
BCPCFBLM_00009	CDS	780				hypothetical protein
BCPCFBLM_00010	CDS	2325	mrcB		COG0744	Penicillin-binding protein 1B
BCPCFBLM_00011	CDS	1563			COG0645	putative protein
BCPCFBLM_00012	CDS	348				hypothetical protein
BCPCFBLM_00013	CDS	273				hypothetical protein
BCPCFBLM_00014	CDS	798				hypothetical protein
BCPCFBLM_00015	CDS	888				hypothetical protein
BCPCFBLM_00016	CDS	768	hmuV	3.6.3.-	COG4559	Hemin import ATP-binding protein HmuV
BCPCFBLM_00017	CDS	984	hmuU_1		COG0609	Hemin transport system permease protein HmuU
BCPCFBLM_00018	CDS	894	hmuT		COG4558	Hemin-binding periplasmic protein HmuT
BCPCFBLM_00019	CDS	1065	hemS		COG3720	Hemin transport protein HemS
BCPCFBLM_00020	CDS	2295	hemR		COG1629	Hemin receptor
BCPCFBLM_00021	CDS	324				hypothetical protein
BCPCFBLM_00022	CDS	513				hypothetical protein
BCPCFBLM_00023	CDS	450				hypothetical protein
BCPCFBLM_00024	CDS	450				hypothetical protein
BCPCFBLM_00025	CDS	1236	alaC	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaC
BCPCFBLM_00026	CDS	855	phzF_1	5.3.3.17		Trans-2,3-dihydro-3-hydroxyanthranilate isomerase
BCPCFBLM_00027	CDS	894				hypothetical protein
BCPCFBLM_00028	CDS	477	secD_1			Protein translocase subunit SecD
BCPCFBLM_00029	CDS	1296	adeP_1		COG2252	Adenine permease AdeP
BCPCFBLM_00030	CDS	1092	trmA	2.1.1.-	COG2265	tRNA/tmRNA (uracil-C(5))-methyltransferase
BCPCFBLM_00031	CDS	708	sfsA		COG1489	Sugar fermentation stimulation protein A
BCPCFBLM_00032	CDS	1173	aspC_1	2.6.1.1	COG0436	Aspartate aminotransferase
BCPCFBLM_00033	CDS	447	dksA_1		COG1734	RNA polymerase-binding transcription factor DksA
BCPCFBLM_00034	CDS	882	gluQ	6.1.1.-	COG0008	Glutamyl-Q tRNA(Asp) synthetase
BCPCFBLM_00035	CDS	177				hypothetical protein
BCPCFBLM_00036	CDS	2952	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
BCPCFBLM_00037	CDS	1437	zraR_1		COG2204	Transcriptional regulatory protein ZraR
BCPCFBLM_00038	CDS	1404	pcnB	2.7.7.19	COG0617	Poly(A) polymerase I
BCPCFBLM_00039	CDS	489	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
BCPCFBLM_00040	CDS	801	panB_1	2.1.2.11		3-methyl-2-oxobutanoate hydroxymethyltransferase
BCPCFBLM_00041	CDS	852	panC	6.3.2.1	COG0414	Pantothenate synthetase
BCPCFBLM_00042	CDS	381	panD	4.1.1.11	COG0853	Aspartate 1-decarboxylase
BCPCFBLM_00043	CDS	1665	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
BCPCFBLM_00044	CDS	1938	acsA_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
BCPCFBLM_00045	CDS	882				hypothetical protein
BCPCFBLM_00046	CDS	3267				hypothetical protein
BCPCFBLM_00047	CDS	294				hypothetical protein
BCPCFBLM_00048	CDS	315				hypothetical protein
BCPCFBLM_00049	CDS	198				hypothetical protein
BCPCFBLM_00050	CDS	345	osmY_1		COG2823	Osmotically-inducible protein Y
BCPCFBLM_00051	CDS	2106	pnp	2.7.7.8		Polyribonucleotide nucleotidyltransferase
BCPCFBLM_00052	CDS	270	rpsO		COG0184	30S ribosomal protein S15
BCPCFBLM_00053	CDS	915	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
BCPCFBLM_00054	CDS	390	rbfA		COG0858	30S ribosome-binding factor
BCPCFBLM_00055	CDS	2523	infB		COG0532	Translation initiation factor IF-2
BCPCFBLM_00056	CDS	1482	nusA		COG0195	Transcription termination/antitermination protein NusA
BCPCFBLM_00057	CDS	459	rimP		COG0779	Ribosome maturation factor RimP
BCPCFBLM_00058	tRNA	77				tRNA-Met(cat)
BCPCFBLM_00059	tRNA	86				tRNA-Leu(gag)
BCPCFBLM_00060	CDS	756	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
BCPCFBLM_00061	CDS	1338	glmM_1	5.4.2.10	COG1109	Phosphoglucosamine mutase
BCPCFBLM_00062	CDS	780	folP	2.5.1.15	COG0294	Dihydropteroate synthase
BCPCFBLM_00063	CDS	1920	ftsH_1	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
BCPCFBLM_00064	CDS	624	rlmE	2.1.1.166	COG0293	Ribosomal RNA large subunit methyltransferase E
BCPCFBLM_00065	CDS	315			COG1534	RNA-binding protein
BCPCFBLM_00066	CDS	408				hypothetical protein
BCPCFBLM_00067	CDS	477	greA		COG0782	Transcription elongation factor GreA
BCPCFBLM_00068	CDS	3222	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
BCPCFBLM_00069	CDS	651	leuE_1		COG1280	Leucine efflux protein
BCPCFBLM_00070	CDS	1137	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
BCPCFBLM_00071	CDS	807	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
BCPCFBLM_00072	CDS	1134	dnaJ		COG0484	Chaperone protein DnaJ
BCPCFBLM_00073	CDS	1914	dnaK_1		COG0443	Chaperone protein DnaK
BCPCFBLM_00074	CDS	561	grpE		COG0576	Protein GrpE
BCPCFBLM_00075	CDS	1677	recN		COG0497	DNA repair protein RecN
BCPCFBLM_00076	CDS	405	fur		COG0735	Ferric uptake regulation protein
BCPCFBLM_00077	CDS	531	bamE			Outer membrane protein assembly factor BamE
BCPCFBLM_00078	CDS	306				hypothetical protein
BCPCFBLM_00079	CDS	435	ratA		COG2867	Ribosome association toxin RatA
BCPCFBLM_00080	CDS	480	smpB		COG0691	SsrA-binding protein
BCPCFBLM_00081	CDS	774	pdhR		COG2186	Pyruvate dehydrogenase complex repressor
BCPCFBLM_00082	CDS	1683	glcA		COG1620	Glycolate permease GlcA
